Array_Size,log2(Array_Size),HeapSort_Time_ms,InsertionSort_Time_ms,MergeSort_Time_ms
128,7,0.01100,0.00600,0.01900
256,8,0.02300,0.02500,0.03600
512,9,0.04900,0.09100,0.07000
1024,10,0.10500,0.46500,0.15500
2048,11,0.22900,1.41600,0.31300
4096,12,0.51500,5.72600,0.64500
8192,13,1.08700,24.78000,1.33500
16384,14,2.74500,91.64700,2.67400
32768,15,5.38600,369.13700,5.90900
65536,16,11.99300,1484.57700,11.84100
131072,17,24.30400,6016.52000,24.00300
262144,18,51.91100,23546.59800,53.83600
524288,19,112.67800,#N/A,104.48100
1048576,20,254.23600,#N/A,218.42100
2097152,21,540.90200,#N/A,442.15200
4194304,22,1405.79900,#N/A,908.34500
